track_added_at,track_id,track_name,track_api,artist_id
2017-12-03T15:21:46Z,5wrDrajYZSJqta7rJBvcJV,Mind Made Up,https://open.spotify.com/track/5wrDrajYZSJqta7rJBvcJV,134sCDSe1w2zPnfCG4hT0f
2017-12-03T15:21:46Z,7ksUuRAALPLYjhlpwTcDCH,Be Good (feat. Tom Rosenthal),https://open.spotify.com/track/7ksUuRAALPLYjhlpwTcDCH,"08Fba5XNvK4sXAbH68DYPf,1AgxgADPuRIW1wyaA4OKcB"
2021-11-18T08:29:17Z,1iMItSsYpJoU0xzxwyNlXp,Coffee Shop Boy,https://open.spotify.com/track/1iMItSsYpJoU0xzxwyNlXp,3LGk1fSWkZLW6sCMGt8OJT
2017-12-03T15:21:46Z,5511Aj0mYSejKP6fplsoRk,Torn - Bonus Track,https://open.spotify.com/track/5511Aj0mYSejKP6fplsoRk,0B3N0ZINFWvizfa8bKiz4v
2017-12-03T15:21:46Z,4h0zU3O9R5xzuTmNO7dNDU,Lost Boy,https://open.spotify.com/track/4h0zU3O9R5xzuTmNO7dNDU,2WzaAvm2bBCf4pEhyuDgCY
2017-12-03T15:21:46Z,4aUHLZXBqkGETnyJm6vavF,State I'm In,https://open.spotify.com/track/4aUHLZXBqkGETnyJm6vavF,14mErTJ0ubFVjx2zBAwjkE
2017-12-03T15:21:46Z,1Z24QIZbcufidG7K4ntWI9,Grow,https://open.spotify.com/track/1Z24QIZbcufidG7K4ntWI9,4m6VmvHDXWmVdIw6EJGQ86
2017-12-03T15:21:46Z,7DsX5K72fewVGb47qj7Tbg,Pray,https://open.spotify.com/track/7DsX5K72fewVGb47qj7Tbg,2wY79sveU1sp5g7SokKOiI
2017-12-03T15:21:46Z,5InaPMeIHecsyEVzTnmXfb,Corners,https://open.spotify.com/track/5InaPMeIHecsyEVzTnmXfb,0EzrGrgoaRfFelIQgRBIt7
2017-12-03T15:21:46Z,3U2imIBWN0BnTS516Lhjfr,Sunday Smile,https://open.spotify.com/track/3U2imIBWN0BnTS516Lhjfr,4YYFbWfMM8Gr55Hddzkcrl
2017-12-03T15:21:46Z,5A6BJLZArq1MPjsnmcuk5f,Lights Down Low,https://open.spotify.com/track/5A6BJLZArq1MPjsnmcuk5f,1bqxdqvUtPWZri43cKHac8
2017-12-03T15:21:46Z,26h6qDR3KtieqIWgnveqmC,Over And Over Again,https://open.spotify.com/track/26h6qDR3KtieqIWgnveqmC,"2Rf4X6m0oayCJhaJ5K63GQ,66CXWjxzNUsdJxJ2JdwvnR"
2017-12-03T15:21:46Z,7LwJc7I5YNQHRQuQ9G5dXu,Princess,https://open.spotify.com/track/7LwJc7I5YNQHRQuQ9G5dXu,2hPtxFv2Ftb7xGRdU76bOd
2017-12-03T15:21:46Z,7EUoHpKl506IJQlpYQUBsc,Days of Old,https://open.spotify.com/track/7EUoHpKl506IJQlpYQUBsc,4U9nsRTH2mr9L4UXEWqG5e
2017-12-03T15:21:46Z,58FDKxg4uUVEOV0lSRHnQf,Morning Light,https://open.spotify.com/track/58FDKxg4uUVEOV0lSRHnQf,"0Kwf0zcciIFGLCKiqNcO6Q,5eTeHyszhixBkqm4L9xrjW"
2017-12-03T15:21:46Z,07uuo1yEND3oinbFZnYOvx,Sorry,https://open.spotify.com/track/07uuo1yEND3oinbFZnYOvx,5hHcAWKNV84BEbkRnbQ6A7
2020-07-29T09:50:03Z,5ciRElWhvA0LuG2hQi90Ie,Soldier On,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie,0d1nFNO90pwRmCeeqjOx2Q
2017-12-03T15:21:46Z,2LIh4uzqq9cXMPzzmcToHl,Lost on You,https://open.spotify.com/track/2LIh4uzqq9cXMPzzmcToHl,0J7U24vlOOIeMpuaO6Q85A
2017-12-03T15:21:46Z,13HVjjWUZFaWilh2QUJKsP,Let It Go,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP,4EzkuveR9pLvDVFNx6foYD
2017-12-03T15:21:46Z,5TDxhVHsd9AxcWieCsYtcs,Stone,https://open.spotify.com/track/5TDxhVHsd9AxcWieCsYtcs,"2wUjUUtkb5lvLKcGKsKqsR,2Ve76xf8WEVRRfanpQHgLs"
2017-12-03T15:21:46Z,3FNCYiEmLHChlMxU6ShUrP,Fortune Cookie,https://open.spotify.com/track/3FNCYiEmLHChlMxU6ShUrP,"1vlR56ECqMAOA2mUTcTgPV,6mo0UbyIvIePdXNyLwQlk5"
2017-12-03T15:21:46Z,5CjKwY7FUJgKSwTVzoQIaU,Remedy,https://open.spotify.com/track/5CjKwY7FUJgKSwTVzoQIaU,4dpARuHxo51G3z768sgnrY
2017-12-03T15:21:46Z,2Viw81MZJPsOjODAz4A5nW,She Treats Me Well,https://open.spotify.com/track/2Viw81MZJPsOjODAz4A5nW,5schNIzWdI9gJ1QRK8SBnc
2017-12-03T15:21:46Z,48mqfE8RHAaxVWSr3aSOjD,Chateau,https://open.spotify.com/track/48mqfE8RHAaxVWSr3aSOjD,4tvKz56Tr39bkhcQUTO0Xr
2021-11-18T08:29:17Z,6AZ4O5q9B4nMQVghTfTBe3,I'm Not In Love - Edit,https://open.spotify.com/track/6AZ4O5q9B4nMQVghTfTBe3,4GJnr4GfSEBcsjMiyE67Uf
2017-12-03T15:21:46Z,4gVZhkcsZcwQ4mU1gEeXEO,Don't Forget About Me,https://open.spotify.com/track/4gVZhkcsZcwQ4mU1gEeXEO,355SqtHY4qKt2wIXrWku0c
2017-12-03T15:21:46Z,3icbmPGKTsKAa0IinkizCM,That's How You Know (feat. Kid Ink & Bebe Rexha),https://open.spotify.com/track/3icbmPGKTsKAa0IinkizCM,"0awl5piYwO0CDTHEkCjUhn,6KZDXtSj0SzGOV705nNeh3,64M6ah0SkkRsnPGtGiRAbb"
2017-12-03T15:21:46Z,4Xvcx48q8khat7M1YUYaYW,You Make It Real,https://open.spotify.com/track/4Xvcx48q8khat7M1YUYaYW,3LpLGlgRS1IKPPwElnpW35
2017-12-03T15:21:46Z,27IQtqCIy1KfK9TQGlG4jp,And the Birds Sing,https://open.spotify.com/track/27IQtqCIy1KfK9TQGlG4jp,5zeCSgiRyezbfLiGOpKAsR
2017-12-03T15:21:46Z,79dWlFvR2N2q8aD3IzRpwW,Lay Here,https://open.spotify.com/track/79dWlFvR2N2q8aD3IzRpwW,7dohdcCGn1V9tieoC7ndRy
2017-12-03T15:21:46Z,4C2aiAVTTVyZbCQZst5Xu1,Tiger Striped Sky,https://open.spotify.com/track/4C2aiAVTTVyZbCQZst5Xu1,0XHM5ZNJDU8e4CfbWMeSzC
2017-12-03T15:21:46Z,5imShWWzwqfAJ9gXFpGAQh,Waiting On the World to Change,https://open.spotify.com/track/5imShWWzwqfAJ9gXFpGAQh,0hEurMDQu99nJRq8pTxO14
